Date,SP500,SP500corr,filterSP500corr,Open,High,Low,Last,,,,,,,,,,,,,
1998-02-19,1041,0.066375437,0,1045,1048,1039.5,1041,100000,,,,,,,,,,,,
1998-02-20,1048.25,0.06544504,0,1042,1049,1036.5,1048.25,100000,,,,,,,,,,,,
1998-02-23,1051.25,0.023016666,0,1051.5,1058,1044.75,1051.25,100000,,,,,,,,,,,,
1998-02-24,1043.5,-0.066457364,0,1053,1053,1041.5,1043.5,100000,,,,,,,,,,,,
1998-02-25,1057.75,-0.092259549,0,1043,1060.75,1042.5,1057.75,100000,,,,,,,,,,,,
1998-02-26,1063.75,-0.09045054,0,1057,1063.75,1053,1063.75,100000,,,,,,,,,,,,
1998-02-27,1062,-0.127101568,0,1063,1066.75,1057,1062,100000,,,,,,,,,,,,
1998-03-02,1059.75,0.059094745,0,1061.75,1068,1058.5,1059.75,100000,,,,,,,,,,,,
1998-03-03,1067,0.061261842,0,1059.5,1067,1047,1067,100000,,,,,,,,,,,,
1998-03-04,1059.25,0.057123993,0,1065.25,1068,1055,1059.25,100000,,,,,,,,,,,,
1998-03-05,1049.75,0.052105676,0,1055,1055,1044,1049.75,100000,,,,,,,,,,,,
1998-03-06,1068.75,0.052433725,0,1049.25,1069.5,1044.25,1068.75,100000,,,,,,,,,,,,
1998-03-09,1065.5,0.058555279,0,1061.5,1072.25,1061.5,1065.5,100000,,,,,,,,,,,,
1998-03-10,1077.25,0.056955272,0,1066,1078.5,1066,1077.25,100000,,,,,,,,,,,,
1998-03-11,1081.25,0.052020317,0,1076,1082.5,1075.25,1081.25,100000,,,,,,,,,,,,
1998-03-12,1083.75,0.046596201,0,1079.5,1085,1074.25,1083.75,100000,,,,,,,,,,,,
1998-03-13,1080.25,0.046117087,0,1084,1089,1078.5,1080.25,100000,,,,,,,,,,,,
1998-03-16,1092,0.043522306,0,1080,1092.25,1076.75,1092,100000,,,,,,,,,,,,
1998-03-17,1093.5,0.039831619,0,1091.25,1094.25,1086,1093.5,100000,,,,,,,,,,,,
1998-03-18,1097.25,0.035998667,0,1094,1097.75,1089.25,1097.25,100000,,,,,,,,,,,,
1998-03-19,1101.5,0.033895167,0,1097.25,1102,1095.75,1101.5,100000,,,,,,,,,,,,
1998-03-20,1111,0.027935455,0,1101.5,1113.75,1100.25,1111,100000,,,,,,,,,,,,
1998-03-23,1118.5,0.015922395,0,1117.5,1124.25,1116,1118.5,100000,,,,,,,,,,,,
1998-03-24,1130,0.013644313,0,1119.5,1130,1119.5,1130,100000,,,,,,,,,,,,
1998-03-25,1120,-0.001530855,0,1137,1138,1117.25,1120,100000,,,,,,,,,,,,
1998-03-26,1128,-0.058626122,0,1126,1128,1118,1128,100000,,,,,"$100,000",,,,,,,
1998-03-27,1118.25,-0.065548976,0,1130,1131.5,1113.75,1118.25,100000,,,,,"$100,000",,,,,,,
1998-03-30,1113,-0.184323271,-0.184323271,1116.5,1121.25,1113,1113,100000,,,1113,,"$100,000",,,,,0,,
1998-03-31,1121.25,-0.180534787,-0.180534787,1122.5,1132.75,1116.5,1121.25,100000,,,1113,,"$100,000",,,,,0,,
1998-04-01,1131,-0.174516051,-0.174516051,1124.5,1132.5,1119,1131,100000,,,1113,,"$100,000",,,,,0,,
1998-04-02,1134,-0.175416398,-0.175416398,1129,1143.75,1128.75,1134,100000,,,1113,,,,,,,0,,
1998-04-03,1144.5,-0.176524424,-0.176524424,1147.5,1150,1141.25,1144.5,100000,,,1113,,,,,,,0,,
1998-04-06,1141.25,-0.168874752,-0.168874752,1152,1153,1140,1141.25,100000,,,1113,,,,,,,0,,
1998-04-07,1130,-0.163882813,-0.163882813,1137,1140.75,1123.5,1130,100000,,,1113,,,,,,,0,,
1998-04-08,1120,-0.156860308,-0.156860308,1134,1134,1118.5,1120,100000,,,1113,,,,,,,0,,
1998-04-09,1134,-0.154236718,-0.154236718,1127.25,1134,1127.25,1134,100000,100000,,1113,,"$100,000","$100,000","$100,000","$100,000",,0,,100000
1998-04-13,1129,-0.149734047,0,1129,1133.75,1122.25,1129,102895.778,"$102,896",1.02895778,1129,0.971857174,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-14,1135.5,-0.149464128,0,1132.75,1136.75,1128.25,1135.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-15,1138.5,-0.14935077,0,1137,1139.75,1134.5,1138.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-16,1126.25,-0.146587222,0,1128,1129.75,1124.5,1126.25,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-17,1136.5,-0.125873174,0,1123.25,1142,1121.25,1136.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-20,1143,-0.121231789,0,1143,1143.25,1138,1143,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-21,1142,-0.118737988,0,1142.5,1148.5,1138,1142,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-22,1151.5,-0.118151672,0,1146.25,1151.5,1146.25,1151.5,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-23,1138,-0.113553929,0,1147.25,1147.25,1138,1138,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
1998-04-24,1123,-0.109917681,0,1133,1139.75,1123,1123,102895.778,"$102,896",,0,,"$97,186","$102,896","$97,186","$100,000",,0,,"$100,000"
