,Date,SP_Daily_Pct_Return,Open,High,Low,Last,Change,Settle,Volume,SP_MA,dly_chg_correlation,dly_chg_corr_mean,Std_daily_chg_correl,upper_correl,lower_correl,signal,Gold-Copp_Dly_Ret,Gold_Price,Copper_Price,GoldCopperRatio,MA,rolling_std
0,1998-06-11,-1.67,1124.25,1128.25,1103.0,1105.25,,1105.25,17376.0,-0.03636363636363654,0.0746978967548368,0.010655833677076593,0.06427815515313295,0.1392121439833425,-0.11790047662918932,0.0,-0.01,288.7,0.7635,0.002644613785936959,,
1,1998-06-12,0.57,1103.5,1113.5,1091.75,1111.5,,1111.5,19156.0,-0.01000000000000018,0.05808306253662354,0.012656343676969677,0.06400537498123277,0.14066709363943522,-0.11535440628549586,0.0,-0.76,287.3,0.754,0.0026244343891402714,,
2,1998-06-15,-2.29,1112.25,1114.25,1084.0,1086.0,,1086.0,19159.0,-0.06454545454545473,0.11455539974311305,0.015474462109993509,0.06502826059510783,0.14553098330020917,-0.11458205908022215,0.0,-2.55,286.6,0.733,0.0025575715282623863,,
3,1998-06-16,1.29,1085.0,1100.5,1082.75,1100.0,,1100.0,20631.0,-0.02545454545454564,0.0997692873282033,0.01801266228531655,0.0655519218467285,0.14911650597877357,-0.11309118140814046,0.0,-0.84,290.0,0.7355,0.0025362068965517244,,
4,1998-06-17,2.07,1099.25,1126.75,1098.5,1122.75,,1122.75,17820.0,0.02072727272727254,0.104780189251417,0.02067113083371109,0.06605928044983454,0.15278969173338017,-0.111447430065958,0.0,0.14,294.9,0.7490000000000001,0.0025398440149203127,,
5,1998-06-18,-0.4,1122.0,1127.0,1116.0,1118.25,,1118.25,13415.0,-1.8772862052752647e-16,0.10468324020644645,0.02314293124249342,0.06662099734904202,0.15638492594057746,-0.11009906345559062,0.0,-0.97,294.6,0.741,0.002515274949083503,,
6,1998-06-19,-0.51,1118.25,1124.0,1107.75,1112.5,,1112.5,11683.0,-0.025090909090909278,0.139025629039133,0.026614965176208087,0.0676045398373493,0.1618240448509067,-0.10859411449849052,0.0,-0.01,300.8,0.7565,0.0025149601063829785,,
7,1998-06-22,1.39,1122.5,1132.25,1122.5,1128.0,,1128.0,30.0,-0.0047272727272729175,0.15420671774363937,0.030788796237487127,0.0682755887884498,0.16733997381438673,-0.10576238133941249,0.0,1.31,297.1,0.757,0.0025479636486031637,,
8,1998-06-23,1.09,1130.0,1143.25,1130.0,1140.25,,1140.25,11.0,-0.0018181818181820075,0.1799134575817062,0.03591361294871353,0.06870464266182842,0.17332289827237038,-0.10149567237494331,0.0065905593093358306,-0.56,296.4,0.7509999999999999,0.0025337381916329285,,
9,1998-06-24,1.21,1141.0,1157.25,1140.25,1154.0,,1154.0,7.0,0.025272727272727086,0.17796176233461633,0.04113804409479801,0.06837578306702773,0.17788961022885347,-0.09561352203925744,7.215210576286268e-05,0.08,294.2,0.746,0.0025356900067980965,,
10,1998-06-25,-0.13,1160.75,1166.0,1152.5,1152.5,,1152.5,49.0,0.040909090909090715,0.19177069145018616,0.046348189322487146,0.06874333152306594,0.18383485236861902,-0.09113847372364474,0.007935839081567142,-0.57,295.1,0.7440000000000001,0.0025211792612673672,,
11,1998-06-26,0.74,1154.5,1161.0,1153.25,1161.0,,1161.0,18.0,0.07036363636363617,0.1968392393953085,0.051873422035963214,0.06839736927027205,0.18866816057650732,-0.0849213165045809,0.008171078818801192,-0.71,295.0,0.7385,0.002503389830508475,,
12,1998-06-29,0.17,1161.75,1169.75,1161.75,1163.0,,1163.0,6.0,0.05072727272727253,0.15680111171763755,0.05559063763706699,0.06844416334499091,0.1924789643270488,-0.08129768905291485,0.0,-1.24,297.1,0.7345,0.002472231571861326,,
13,1998-06-30,-0.52,1162.0,1164.0,1154.75,1157.0,,1157.0,8.0,0.04927272727272708,0.16345826573658237,0.05887729650735036,0.0692146004869442,0.19730649748123874,-0.07955190446653804,0.0,-0.73,300.3,0.737,0.002454212454212454,,
14,1998-07-01,1.12,1159.75,1170.0,1159.75,1170.0,,1170.0,10.0,0.059090909090908895,0.14140622139751652,0.06233330833613963,0.06848660567581753,0.19930651968777469,-0.07463990301549545,0.0,-1.6,299.6,0.7235,0.002414886515353805,,
15,1998-07-02,-0.43,1167.0,1168.0,1165.0,1165.0,,1165.0,5.0,0.04654545454545434,0.13277671258335733,0.06553462021744214,0.06756664708930156,0.20066791439604525,-0.06959867396116098,0.0,1.3,297.2,0.727,0.002446164199192463,,
16,1998-07-06,1.2,1168.25,1180.25,1168.25,1179.0,,1179.0,10.0,0.0879999999999998,0.09174556573750663,0.06713093531768773,0.06712034186666724,0.2013716190510222,-0.06710974841564675,0.0,-0.8,296.5,0.7195,0.002426644182124789,,
17,1998-07-07,-0.28,1182.0,1182.25,1174.75,1175.75,,1175.75,8.0,0.06636363636363617,0.0837524122471713,0.06817171474546334,0.06692231187259041,0.20201633849064415,-0.06567290899971749,0.0,-0.22,298.2,0.722,0.002421193829644534,,
18,1998-07-08,1.25,1178.5,1190.5,1178.5,1190.5,,1190.5,8.0,0.07872727272727252,0.09239473899516264,0.06965145119470849,0.0665336104505954,0.20271867209589928,-0.06341576970648231,0.0,0.23,296.5,0.7195,0.002426644182124789,,
19,1998-07-09,-0.82,1185.75,1189.25,1178.75,1180.75,,1180.75,27.0,0.06545454545454525,0.08970948428765217,0.07139810971716751,0.06575772546997857,0.20291356065712465,-0.06011734122278964,0.0,0.09,294.8,0.716,0.00242876526458616,,
